Carne,"La carne es el tejido animal, principalmente muscular, que se consume como alimento por parte de algunos seres vivos. Se trata de una clasificación coloquial y comercial que solo se aplica a animales terrestres —normalmente vertebrados : mamíferos, aves y reptiles —, pues, a pesar de que podría aplicarse a los animales marinos, estos entran en otra categoría, la de pescado, especialmente los peces —los crustáceos, moluscos y otros grupos suelen recibir el nombre de marisco —. Más allá de su clasificación biológica, otros animales, como los mamíferos marinos, se han considerado a veces carne y a veces pescado. En algunas regiones, la carne humana también puede adquirir esta denominación.",https://es.wikipedia.org/wiki/Carne
Historia de la sal,"La historia de la sal trata del uso y comercio que se le ha dado durante siglos a la única «roca» comestible por el ser humano. Su uso está generalizado en todas las gastronomías del mundo, bien sea como condimento, bien como conservante específico de algunos alimentos, como es el caso de las salazones de carne y pescado.",https://es.wikipedia.org/wiki/Historia_de_la_sal
Pasteurización,"La pasteurización o pasterización es un proceso térmico que es realizado en líquidos (generalmente alimentos, como por ejemplo la leche ), con la intención de reducir la presencia de agentes patógenos (como por ejemplo ciertas bacterias, protozoos, mohos, levaduras, etcétera) que puedan contener. Debido a las altas temperaturas (80 grados), la gran mayoría de los agentes bacterianos mueren. Este proceso fue descubierto por el científico químico francés Louis Pasteur, junto a Claude Bernard, el 20 de abril de 1864.",https://es.wikipedia.org/wiki/Pasteurizaci%C3%B3n
Historia de la hamburguesa,"Los orígenes de la hamburguesa son inciertos, ya que no se conoce mucho acerca del mismo, sin embargo se sabe que fue elaborada por primera vez en el período que va desde finales del siglo XIX hasta comienzos del siglo XX. La hamburguesa moderna nace de las necesidades culinarias de una sociedad que, por su reciente industrialización, lleva un ritmo de vida más acelerado pero que necesita de un alimento de rápida preparación que aporte los ingredientes necesarios en un solo alimento.",https://es.wikipedia.org/wiki/Historia_de_la_hamburguesa
Historia del chocolate en España,"La historia del chocolate en España es una parte de la historia culinaria española comprendida desde el siglo XVI, cuando los españoles conocieron el cacao ( Theobroma cacao ) mesoamericano al comenzar la colonización de América, hasta el presente. Cuando Hernán Cortés viajó a México fue acompañado por fray Gerónimo de Aguilar quien envió al abad del monasterio de Piedra el primer cacao junto a la receta para cocinarlo. Tras la Conquista de México, el cacao viaja como mercancía en barco desde un puerto de Nueva España, rumbo a las costas españolas. Este primer viaje a Europa ocurre por primera vez en algún momento indeterminado de la década de 1520. No fue hasta el siglo XVII cuando sale regularmente desde el puerto de Veracruz, abriendo una ruta comercial marítima que abastecería la nueva demanda de España, y posteriormente de Europa.",https://es.wikipedia.org/wiki/Historia_del_chocolate_en_Espa%C3%B1a
Lácteo,"El grupo de los lácteos (también productos lácteos, lácticos o derivados lácteos ) incluye alimentos como la leche y sus derivados procesados. Las plantas industriales que producen estos alimentos pertenecen a la industria láctea y se caracterizan por la manipulación de un producto altamente perecedero, como la leche, que debe vigilarse y analizarse correctamente durante todos los pasos de la cadena de frío hasta su llegada al consumidor.",https://es.wikipedia.org/wiki/L%C3%A1cteo
Historia del pan,"La historia del pan en la alimentación se desarrolla paralela a la del uso de los cereales por parte del ser humano. El pan es un producto directo del procesado manual de los cereales (procesado que con posterioridad se transformó en mecánico) y es muy posible que fuese la primera aplicación alimenticia de estos. El pan, el aceite y el vino quizás fueron los primeros alimentos procesados en la historia de la humanidad.",https://es.wikipedia.org/wiki/Historia_del_pan
Pan,"El pan, del latín panis, es un alimento básico de la dieta humana que se suele preparar mediante el horneado de una masa, elaborada fundamentalmente con harina de cereal, agua y sal. La mezcla, en la mayoría de las ocasiones, suele contener levaduras para que se fermente la masa y sea más esponjosa y tierna.",https://es.wikipedia.org/wiki/Pan
Leche,"La leche (del latín : lac ) es una secreción nutritiva de color blanquecino opaco producida por las células secretoras de las glándulas mamarias de los mamíferos, incluidos los monotremas. Su principal función es la de nutrir a las crías hasta que sean capaces de digerir otros alimentos, además de proteger su tracto gastrointestinal contra patógenos, toxinas e inflamación y contribuir a su salud metabólica regulando los procesos de obtención de energía, en especial el metabolismo de la glucosa y la insulina. Esta capacidad es una de las características que definen a los mamíferos. Es el único fluido que ingieren las crías de los mamíferos (niño de pecho en el caso de los seres humanos) hasta el destete. La secreción láctea de una hembra en los días anteriores y posteriores al parto se llama calostro.",https://es.wikipedia.org/wiki/Leche
Historia de la gastronomía,"La historia de la gastronomía está intrínsecamente relacionada con la historia de la humanidad, ya que el ser humano, como ente biológico, necesita de la alimentación para su subsistencia. Sin embargo, al estar dotado de conciencia y sensaciones, la alimentación es más que un factor fisiológico, es fuente de placer, un goce sensorial e incluso estético. Conforme ha avanzado en su civilización, el ser humano siempre se ha preocupado de hacer elaboraciones que no solo calmasen su apetito, sino que fuesen agradables a la vista, que tuviesen buen olor y buena presentación, por lo que ha desarrollado una puesta en escena con diversos utensilios, como vajilla, cubiertos, cristalería, servilletas, manteles, velas, flores o centros de mesa. A la vez, la alimentación se ha convertido en un ritual social, en el que personas con diversas relaciones afectivas o sociales se reúnen para la celebración de determinados eventos, como aniversarios, bautizos, comuniones, bodas o incluso, en determinadas culturas, funerales, así como reuniones de negocios o laborales, fiestas colectivas por barrios o municipios, y otros. En ese sentido, diversos lugares dedicados a la expedición de alimentos o bebidas, como bares, restaurantes, cafeterías, tabernas, posadas, mesones, pubs y otros establecimientos similares, han servido como centros de socialización para numerosas comunidades.",https://es.wikipedia.org/wiki/Historia_de_la_gastronom%C3%ADa
